Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
Introduction to Power Electronics,"Understand what a switched-mode converter is and its basic operating principlesBe able to solve for the steady-state voltages and currents of step-down, step-up, inverting, and other power convertersKnow how to derive an averaged equivalent circuit model and solve for the converter efficiency Not specified Ch 1: Introduction, Ch 2: Steady-State Converter Analysis, Ch 3: Steady-State Equivalent Circuit Modeling, Losses, and Efficiency Physical Science and Engineering",4.7,11.0,Intermediate,Coursera,"Understand what a switched-mode converter is and its basic operating principlesBe able to solve for the steady-state voltages and currents of step-down, step-up, inverting, and other power convertersKnow how to derive an averaged equivalent circuit model and solve for the converter efficiency Not specified Ch 1: Introduction, Ch 2: Steady-State Converter Analysis, Ch 3: Steady-State Equivalent Circuit Modeling, Losses, and Efficiency Physical Science and Engineering",Introduction to Power Electronics
Solar Energy System Design,"Not specified Not specified Following solar energy from source to panel, PV module and array circuits, PV sizing and output under different conditions, Grid-tie PV System design under real world conditions, Course Capstone Physical Science and Engineering",4.7,16.0,Intermediate,Coursera,"Not specified Not specified Following solar energy from source to panel, PV module and array circuits, PV sizing and output under different conditions, Grid-tie PV System design under real world conditions, Course Capstone Physical Science and Engineering",Solar Energy System Design
RF and millimeter-Wave Circuit Design,"Not specified Analog Circuit Design, Microelectronics, RF Circuit Design Introduction to RF & mm-Wave Circuit Design Course, Wireless Systems, Amplifiers , Mixers, Oscillators, Synthesizers Physical Science and Engineering",4.7,30.0,Intermediate,Coursera,"Not specified Analog Circuit Design, Microelectronics, RF Circuit Design Introduction to RF & mm-Wave Circuit Design Course, Wireless Systems, Amplifiers , Mixers, Oscillators, Synthesizers Physical Science and Engineering",RF and millimeter-Wave Circuit Design
Oceanography: a key to better understand our world,"Not specified Not specified 1A - The Mediterranean: a model of an ocean - Temperature, salinity and pressure., 1B - The Mediterranean: a model of an ocean - Water masses and circulation, 2. The Global Ocean, 3A. Satellite oceanography: all eyes on the planet (I), 3B. Satellite oceanography: All eyes on the planet (II), 4. Ocean chemistry: a chemical industry with wall-less pipes , 5. Ocean basins: a memory sustained for millions of years  Physical Science and Engineering",4.5,29.0,Not applicable,Coursera,"Not specified Not specified 1A - The Mediterranean: a model of an ocean - Temperature, salinity and pressure., 1B - The Mediterranean: a model of an ocean - Water masses and circulation, 2. The Global Ocean, 3A. Satellite oceanography: all eyes on the planet (I), 3B. Satellite oceanography: All eyes on the planet (II), 4. Ocean chemistry: a chemical industry with wall-less pipes , 5. Ocean basins: a memory sustained for millions of years  Physical Science and Engineering",Oceanography: a key to better understand our world
Electric Utilities Fundamentals and Future,"Not specified Energy Policy, Demand, Renewable Energy, Management Taking Shape and Grid Fundamentals, Price and Value, ""Not Your Grandparents Utility"", Pace of Change, Technology and Regulation, Toward a Bright Future Physical Science and Engineering",4.7,11.0,Beginner,Coursera,The text is already in English.,Electric Utilities Fundamentals and Future
Requirements Writing,"Not specified Not specified Welcome & Introduction to the Course, Requirements Writing Continued, Requirements Writing Continued, Requirements Writing Continued, Final Exam and Information about Further Study Physical Science and Engineering",4.6,4.0,Not applicable,Coursera,"Not specified Not specified Welcome & Introduction to the Course, Requirements Writing Continued, Requirements Writing Continued, Requirements Writing Continued, Final Exam and Information about Further Study Physical Science and Engineering",Requirements Writing
"Remote Sensing Image Acquisition, Analysis and Applications","Not specified Radar Systems, Remote Sensing, Machine Learning, Image Analysis Course Welcome, Instructor, Course Resources, Module 1 Introduction and Week 1 Lectures and Quiz, Week 2 Lectures and Quiz, Week 3 Lectures and Quiz, Week 4 Lectures and Quiz, Week 5 Lectures and Quiz, Module 1 Test, Module 2 Introduction, Week 6 lectures and Quiz, Week 7 Lectures and Quiz, Week 8 Lectures and Quiz, Week 9 Lectures and Quiz, Week 10 Lectures and Quiz, Module 2 Test, Module 3 Introduction, Week 11 Lectures and Quiz, Week 12 Lectures and Quiz, Week 13 Lectures and Quiz, Week 14 Lectures and Quiz, Week 15 Lectures and Quiz, Module 3 Test, Course Conclusion Physical Science and Engineering",4.7,22.0,Intermediate,Coursera,"Welcome to the course on Radar Systems, Remote Sensing, Machine Learning, and Image Analysis. In this course, you will find resources such as the instructor, course materials, Module 1 Introduction, Week 1-5 lectures and quizzes, Module 1 Test, Module 2 Introduction, Week 6-10 lectures and quizzes, Module 2 Test, Module 3 Introduction, Week 11-15 lectures and quizzes, Module 3 Test, and the conclusion of the course in Physical Science and Engineering.","Remote Sensing Image Acquisition, Analysis and Applications"
Lean Six Sigma Specialization,"Not specified Trabajo en Equipo, análisis y síntesis, diagnóstico, Mapeo, Solución de problemas Introducción a Lean Six Sigma, Definición y Medición, Analizar e incrementar - Parte 1,  Incrementar - Parte 2 y Controlar Physical Science and Engineering",4.7,80.0,Intermediate,Coursera,"Teamwork, analysis and synthesis, diagnosis, mapping, problem solving Introduction to Lean Six Sigma, Definition and Measurement, Analyze and increase - Part 1, Increase - Part 2 and Control Physical Science and Engineering",Lean Six Sigma Specialization
Introduction to Digital Transformation,"Not specified Cloud Computing, Identification Systems, Digital transformation, PLM Software, Systemic thinking An Introduction to Digital Transformation, Technology Trends - Computing & Visual, Technology Trends - Connectivity, Technology Trends - Artificial Intelligence, The Product Lifecycle - Ideation, Realization, and Utilization Physical Science and Engineering",4.7,18.0,Beginner,Coursera,"No especificado Computación en la nube, Sistemas de identificación, Transformación digital, Software PLM, Pensamiento sistémico Una introducción a la transformación digital, Tendencias tecnológicas - Computación y visualización, Tendencias tecnológicas - Conectividad, Tendencias tecnológicas - Inteligencia artificial, El ciclo de vida del producto - Ideación, Realización y Utilización Ciencia física e ingeniería",Introduction to Digital Transformation
Introduction to Mechanics Specialization,"How to describe motion graphically mathematically.The nature of forces and how they influence motion.How to use energy and momentum to solve mechanics problems.Interactions and energies of gravitational interactions. Calculus, Physics, classical mechanics Physics 101 - Forces and Kinematics , Physics 101 - Energy and Momentum, Physics 101 - Rotational Motion and Gravitation  Physical Science and Engineering",4.6,80.0,Intermediate,Coursera,"How to describe motion graphically mathematically.The nature of forces and how they influence motion.How to use energy and momentum to solve mechanics problems.Interactions and energies of gravitational interactions. Calculus, Physics, classical mechanics Physics 101 - Forces and Kinematics , Physics 101 - Energy and Momentum, Physics 101 - Rotational Motion and Gravitation  Physical Science and Engineering",Introduction to Mechanics Specialization
Our Energy Future,"Not specified Energy, Sustainable Energy, Energy Systems, Environmental Protection General Course Materials, Introduction to Energy, Physical Energy Sources, Introduction to Biological Energy Sources, Plant Biofuel, Algae Biofuel, Biofuel Production and Downstream Processing, Social Issues, Economics, and Politics, Climate Change, Office Hours Physical Science and Engineering",4.7,36.0,Not applicable,Coursera,The text is already in English.,Our Energy Future
Spacecraft Formation Relative Orbits Specialization,"Describe relative orbits using a range of coordinatesDescribe the impact of orbit perturbations on the relative orbit geometryDesign relative formations that exploit orbital perturbationsDevelop feedback control laws to stabilize desired relative orbits Spacecraft rendezvous, Orbital perturbations, Relative orbit design, Nonlinear control, Relative motion control Spacecraft Relative Motion Kinematics and Kinetics, Spacecraft Relative Motion Control, Spacecraft Formation Flying and Control Capstone Project Physical Science and Engineering",0.0,80.0,Expert,Coursera,"Describe relative orbits using a range of coordinates. Discuss the effects of orbit perturbations on the relative orbit geometry. Design formations that take advantage of orbital perturbations. Create control laws to maintain desired relative orbits. Topics include spacecraft rendezvous, orbital perturbations, relative orbit design, nonlinear control, relative motion control, spacecraft relative motion kinematics and kinetics, spacecraft relative motion control, spacecraft formation flying and control. This is a capstone project in physical science and engineering.",Spacecraft Formation Relative Orbits Specialization
"Introduction to CAD, CAM, and Practical CNC Machining","Explain the CAD design process as applied to prismatic parts. Summarize the workflow of digital manufacturing.Demonstrate knowledge and skills in basic Fusion 360 CAM.Recall foundational knowledge of practical CNC machining. Computer-Aided Manufacturing, Computer-Aided Design (CAD), Mechanical Engineering, Autodesk Fusion 360, Manufacturing Process Management Autodesk Fusion 360 Foundational Design concepts, CNC and machining basics, Setting up CAM programs, Create a CNC program  Physical Science and Engineering",4.8,19.0,Expert,Coursera,"Explain the CAD design process as applied to prismatic parts. Summarize the workflow of digital manufacturing.Demonstrate knowledge and skills in basic Fusion 360 CAM.Recall foundational knowledge of practical CNC machining. Computer-Aided Manufacturing, Computer-Aided Design (CAD), Mechanical Engineering, Autodesk Fusion 360, Manufacturing Process Management Autodesk Fusion 360 Foundational Design concepts, CNC and machining basics, Setting up CAM programs, Create a CNC program  Physical Science and Engineering","Introduction to CAD, CAM, and Practical CNC Machining"
Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,"Not specified Not specified Course Introduction; Particle Kinematics; Particle Kinetics – Newton’s Laws and Euler’s Laws; Motion of Particles and Mass Centers of Bodies, Work-Energy Principle for Particles/Systems of Particles, Planar (2D) Rigid Body Kinematics I, Planar (2D) Rigid Body Kinematics II, Planar (2D) Rigid Body Kinetics I, Planar (2D) Rigid Body Kinetics II, Planar (2D) Rigid Body Kinetics III Physical Science and Engineering",4.9,23.0,Not applicable,Coursera,"Not specified Not specified Course Introduction; Particle Kinematics; Particle Kinetics – Newton’s Laws and Euler’s Laws; Motion of Particles and Mass Centers of Bodies, Work-Energy Principle for Particles/Systems of Particles, Planar (2D) Rigid Body Kinematics I, Planar (2D) Rigid Body Kinematics II, Planar (2D) Rigid Body Kinetics I, Planar (2D) Rigid Body Kinetics II, Planar (2D) Rigid Body Kinetics III Physical Science and Engineering",Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion
Rapid Prototyping Using 3D Printing Specialization," Students will analyze how engineering and product design processes are carried out as well as distinguish the steps in both design processes.  Students will examine the what, why, and how of prototyping.Students will investigate the working principles, applications, and limitations of various 3D printing technologies.  3D printing, product design, Prototyping, Product Development Engineering and Product Design Processes, Prototyping, 3D Printing Technology Deep Dive and Use Cases Physical Science and Engineering",4.7,40.0,Beginner,Coursera," Students will analyze how engineering and product design processes are carried out as well as distinguish the steps in both design processes.  Students will examine the what, why, and how of prototyping.Students will investigate the working principles, applications, and limitations of various 3D printing technologies.  3D printing, product design, Prototyping, Product Development Engineering and Product Design Processes, Prototyping, 3D Printing Technology Deep Dive and Use Cases Physical Science and Engineering",Rapid Prototyping Using 3D Printing Specialization
Powering your Home Projects with Raspberry Pi Specialization,"Not specified Electronics, circuits, Raspberry Pi, printed circuit board, Electrical Engineering Beginning Custom Projects with Raspberry Pi, Communications and High-Speed Signals with Raspberry Pi, Using Sensors With Your Raspberry Pi, Designing Hardware for Raspberry Pi Projects Physical Science and Engineering",4.9,48.0,Beginner,Coursera,"Not specified Electronics, circuits, Raspberry Pi, printed circuit board, Electrical Engineering Beginning Custom Projects with Raspberry Pi, Communications and High-Speed Signals with Raspberry Pi, Using Sensors With Your Raspberry Pi, Designing Hardware for Raspberry Pi Projects Physical Science and Engineering",Powering your Home Projects with Raspberry Pi Specialization
Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,"Students will be able to explain basic concepts of acoustics. Students will be able to apply the concepts of acoustics to the creation of music and sound.  Not specified Week 1 - Introduction RC & Introduction to Electrical Circuits MB, Week 2 - Acoustic Resonance RC & Electrical Circuits MB, Week 3 - Some Necessary Mathematics MB & AC Circuit Analysis, Week 4 - AC Signals & Loudspeakers and Radiation RC, Week 5 - Closed Box Loudspeaker Design RC & Ported Loudspeaker Design, Week 6 - Guitar Pickup and Effects Analysis MB & Design and Construction of a Guitar Amplifier MB Physical Science and Engineering",4.6,14.0,Intermediate,Coursera,"Students will be able to explain basic concepts of acoustics. Students will be able to apply the concepts of acoustics to the creation of music and sound.  Not specified Week 1 - Introduction RC & Introduction to Electrical Circuits MB, Week 2 - Acoustic Resonance RC & Electrical Circuits MB, Week 3 - Some Necessary Mathematics MB & AC Circuit Analysis, Week 4 - AC Signals & Loudspeakers and Radiation RC, Week 5 - Closed Box Loudspeaker Design RC & Ported Loudspeaker Design, Week 6 - Guitar Pickup and Effects Analysis MB & Design and Construction of a Guitar Amplifier MB Physical Science and Engineering",Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics
Intro to Digital Manufacturing with Autodesk Fusion 360,"Not specified Computer-Aided Design (CAD), Mechanical Design, Manufacturing Processes, Sustainable Design The future of manufacturing and innovation, Design Innovation Practices, Foundational Concepts, CAD Admininstration Physical Science and Engineering",4.6,11.0,Beginner,Coursera,"Not specified Computer-Aided Design (CAD), Mechanical Design, Manufacturing Processes, Sustainable Design The future of manufacturing and innovation, Design Innovation Practices, Foundational Concepts, CAD Admininstration Physical Science and Engineering",Intro to Digital Manufacturing with Autodesk Fusion 360
The Engineering of Structures Around Us Specialization,"How and why the world's structures (including structures in the natural and biological world) were designed and constructed the way they wereTo conceptually design and build prototypes of structuresTo describe the loads expected on a structure and the resulting flow of forces through the structureTo identify and compare structural elements, forms, and systems Not specified Engineering of Structures: Tension, Engineering of Structures: Compression, Engineering of Structures: Tension and Compression, Engineering of Structures: Shear and Bending, Engineering of Structures: Response of Structures Physical Science and Engineering",4.9,80.0,Beginner,Coursera,"The text describes the process of how and why the world's structures, including those in the natural and biological world, were designed and constructed. It also discusses the conceptual design and building of prototypes of structures, describing the expected loads and flow of forces through the structure. Additionally, it covers the identification and comparison of structural elements, forms, and systems. The text also mentions specific topics such as Engineering of Structures: Tension, Compression, Tension and Compression, Shear and Bending, and the Response of Structures in Physical Science and Engineering.",La especialización en Ingeniería de Estructuras a nuestro alrededor
" The Great Sustainability Transition: Global challenges, Local actions","Not specified Not specified Week 1: Biodiversity, Week 2: Climate Breakdown, Week 3: Pollution, Week 4: The Great Transitions Physical Science and Engineering",4.9,26.0,Beginner,Coursera,"Not specified Not specified Week 1: Biodiversity, Week 2: Climate Breakdown, Week 3: Pollution, Week 4: The Great Transitions Physical Science and Engineering"," The Great Sustainability Transition: Global challenges, Local actions"
Designing Effective Science Communication,"Describe principles of human learning that are important to consider when designing science outreach activities. Compare and contrast modalities for science communication/outreach.Identify common pitfalls in science communication/outreach.Design a science communication/outreach activity based on principles learned in this course.  Learning Engineering, Science Education, Science Communication, Science Literacy, Science Writing Connecting the Science of Learning to Science Communication, Speaking of Science: Oral Presentation , Writing Science: Written Communication, Decoding Science: Technology Based Communication, Creating Science: Artistic Forms of Communication Physical Science and Engineering",4.5,10.0,Beginner,Coursera,"Describe principles of human learning that are important to consider when designing science outreach activities. Compare and contrast modalities for science communication/outreach. Identify common pitfalls in science communication/outreach. Design a science communication/outreach activity based on principles learned in this course. Learning Engineering, Science Education, Science Communication, Science Literacy, Science Writing Connecting the Science of Learning to Science Communication, Speaking of Science: Oral Presentation , Writing Science: Written Communication, Decoding Science: Technology Based Communication, Creating Science: Artistic Forms of Communication Physical Science and Engineering",Designing Effective Science Communication
Water Cooperation and Diplomacy,"Not specified Negotiation, concept critical analysis, data and information management, legal and institutional tools critical application, transformation of conflicts Introduction to the core features of the concept of water diplomacy, Causes and dynamics of water conflicts and cooperation, Water diplomacy tools and processes, Legal and institutional frameworks for water cooperation and diplomacy\t, The role of data, information and knowledge in water cooperation and diplomacy\t\t Physical Science and Engineering",0.0,20.0,Intermediate,Coursera,"Not specified Negotiation, concept critical analysis, data and information management, legal and institutional tools critical application, transformation of conflicts Introduction to the core features of the concept of water diplomacy, Causes and dynamics of water conflicts and cooperation, Water diplomacy tools and processes, Legal and institutional frameworks for water cooperation and diplomacy\t, The role of data, information and knowledge in water cooperation and diplomacy\t\t Physical Science and Engineering",Water Cooperation and Diplomacy
Sustainable Food Systems,"Explore the pillars of sustainability in food production and examine grand challenges in food, nutrition, economics, environment, & energy systems. Food Systems, Sustainability, Systems Thinking, Food Production Economics, Environmental Systems MODULE 1 | Food System as a System, MODULE 2 | Sustainability in the Food System, MODULE 3 | Food Production Systems, MODULE 4 | Food and Nutrition, MODULE 5 | Food and the Environment, MODULE 6 | Economics of the Food System, MODULE 7 | Energy and Technology in the Food System, MODULE 8 | Examining Grand Challenges; Moving Toward Solutions Physical Science and Engineering",0.0,14.0,Beginner,Coursera,"Explore the pillars of sustainability in food production and examine grand challenges in food, nutrition, economics, environment, & energy systems. Food Systems, Sustainability, Systems Thinking, Food Production Economics, Environmental Systems MODULE 1 | Food System as a System, MODULE 2 | Sustainability in the Food System, MODULE 3 | Food Production Systems, MODULE 4 | Food and Nutrition, MODULE 5 | Food and the Environment, MODULE 6 | Economics of the Food System, MODULE 7 | Energy and Technology in the Food System, MODULE 8 | Examining Grand Challenges; Moving Toward Solutions Physical Science and Engineering",Sustainable Food Systems
Introduction to Molecular Spectroscopy,"Not specified Not specified Ultraviolet and Visible Spectroscopy, Infrared Spectroscopy, Nuclear Magnetic Resonance (NMR) Spectroscopy, Final Assessment Physical Science and Engineering",4.7,10.0,Intermediate,Coursera,"No especificado No especificado Espectroscopía Ultravioleta y Visible, Espectroscopía Infrarroja, Espectroscopía de Resonancia Magnética Nuclear (RMN), Evaluación Final Ciencia Física e Ingeniería",Introduction to Molecular Spectroscopy
Planet Earth...and You!,"Not specified Not specified Orientation, Week 1: Earthquakes!, Week 2: Plate Tectonics, Week 3: Volcanoes!, Week 4: Rocks and Mineral Resources, Week 5: Energy Resources Physical Science and Engineering",4.9,41.0,Beginner,Coursera,"Not specified Not specified Orientation, Week 1: Earthquakes!, Week 2: Plate Tectonics, Week 3: Volcanoes!, Week 4: Rocks and Mineral Resources, Week 5: Energy Resources Physical Science and Engineering",Planet Earth...and You!
