Course Title,Course Info,Course Rating,Course Duration,Course Level,Source
Microsoft Azure - Beginner's Guide + AZ-900,"Microsoft Azure - Beginner's Guide + AZ-900
Beginning your journey on Microsoft Azure",4.6,14.5,Beginner,Udemy
Docker for the Absolute Beginner - Hands On - DevOps,"Docker for the Absolute Beginner - Hands On - DevOps
Learn Docker with Hands On Coding Exercises. For beginners in DevOps",4.6,4.5,Beginner,Udemy
The Complete Oracle SQL Certification Course,"The Complete Oracle SQL Certification Course
Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",4.6,16.5,All Levels,Udemy
How to use ChatGPT and Generative AI to help create content,"How to use ChatGPT and Generative AI to help create content
Master the art of language AI: Learn to generate high-quality content, automate tasks, and unleash your creativity.",4.5,6.0,All Levels,Udemy
The Complete Networking Fundamentals Course. Your CCNA start,"The Complete Networking Fundamentals Course. Your CCNA start
Learn about networking and start your journey to Cisco 200-301 Certification.",4.6,79.5,Beginner,Udemy
AZ-104 Microsoft Azure Administrator Exam Prep - OCT 2023,"AZ-104 Microsoft Azure Administrator Exam Prep - OCT 2023
Prove your AZ-104 Microsoft Azure Administrator skills to the world. Updated.",4.6,18.0,Intermediate,Udemy
Learn Linux in 5 Days and Level Up Your Career,"Learn Linux in 5 Days and Level Up Your Career
Use the in-demand Linux skills you learn in this course to get promoted or start a new career as a Linux professional.",4.5,13.5,All Levels,Udemy
The Absolute Beginners Guide to Cyber Security 2024 - Part 1,"The Absolute Beginners Guide to Cyber Security 2024 - Part 1
Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD &amp; more",4.6,5.0,Beginner,Udemy
Blockchain and Bitcoin Fundamentals,"Blockchain and Bitcoin Fundamentals
Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.",4.6,3.0,Beginner,Udemy
The Complete Salesforce Certified Administrator Course + AI,"The Complete Salesforce Certified Administrator Course + AI
225 New Lessons Added! Includes Practice Test and AI ChatGPT Prompts - Most In-Depth and Current Admin Course Here!",4.6,40.0,All Levels,Udemy
AWS Certified Cloud Practitioner (CLF-C02) Exam Training,"AWS Certified Cloud Practitioner (CLF-C02) Exam Training
[2024] Earn your AWS Certified Cloud Practitioner Certification in 20 Days! Hands-on Exercises + AWS Bonus Practice Exam",4.6,13.5,Beginner,Udemy
AZ-900 Microsoft Azure Fundamentals in a Weekend,"AZ-900 Microsoft Azure Fundamentals in a Weekend
PASS AZ-900 in a WEEKEND. GET Azure Certification - Microsoft Azure Fundamentals.",4.6,9.0,Beginner,Udemy
TOTAL: CompTIA Security+ Certification Course + Exam SY0-701,"TOTAL: CompTIA Security+ Certification Course + Exam SY0-701
Everything you need to pass the CompTIA Security+ (SY0-701) exam from Mike Meyers, Dan Lachance, and Lyndon Williams!",4.6,20.5,All Levels,Udemy
Complete Linux Training Course to Get Your Dream IT Job 2024,"Complete Linux Training Course to Get Your Dream IT Job 2024
The BEST Linux Administration course that prepares you for corporate jobs and for RHCSA, RHCE, LFCS, CLNP certifications",4.7,36.0,All Levels,Udemy
TOTAL: CompTIA Network+ (N10-008) Course + Exam,"TOTAL: CompTIA Network+ (N10-008) Course + Exam
Everything you need to pass the CompTIA Network+ Exam (N10-008) from Mike Meyers and Joe Ramm! Includes a practice exam.",4.6,22.0,All Levels,Udemy
API and Web Service Introduction,"API and Web Service Introduction
Includes API, Web Services using REST, JSON, XML, HTTP, SOAP, OAuth, OpenID Connect, Postman and Python",4.5,7.0,Beginner,Udemy
Linux Command Line Basics,"Linux Command Line Basics
This is an introductory course to the Linux command Line. It's great for both Linux beginners and advanced Linux users.",4.6,5.0,All Levels,Udemy
AWS Certified Solutions Architect Associate Practice Exams,"AWS Certified Solutions Architect Associate Practice Exams
Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests for SAA-C03 topics!",4.6,Not applicable,All Levels,Udemy
AZ-900 Bootcamp: Microsoft Azure Fundamentals (FEB 2024),"AZ-900 Bootcamp: Microsoft Azure Fundamentals (FEB 2024)
Updated AZ-900 Course with 120+ Lectures, Hands-On Labs, Exam Simulator, Flashcards, 48-Page Workbook, and More",4.6,9.0,Beginner,Udemy
AZ-900: Microsoft Azure Fundamentals Original Practice Tests,"AZ-900: Microsoft Azure Fundamentals Original Practice Tests
Three complete timed practice tests for AZ-900 Azure Fundamentals exam, 150 questions, 100% original material",4.5,Not applicable,Beginner,Udemy
AWS Certified Cloud Practitioner Practice Exams 2024,"AWS Certified Cloud Practitioner Practice Exams 2024
[CLF-C02] Six NEW Amazon AWS Certified Cloud Practitioner Practice Tests | Cover All Exam Topics | Detailed Explanations",4.6,Not applicable,Beginner,Udemy
6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02,"6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02
Prepare the AWS Certified Cloud Practitioner CLF-C02. 390 unique high-quality test questions with detailed explanations!",4.6,Not applicable,Beginner,Udemy
AZ-204 Developing Solutions for Microsoft Azure - OCT 2023,"AZ-204 Developing Solutions for Microsoft Azure - OCT 2023
The most complete course available on the Microsoft Azure developer exam AZ-204 with timed practice test.",4.5,11.0,Intermediate,Udemy
Linux Administration Bootcamp: Go from Beginner to Advanced,"Linux Administration Bootcamp: Go from Beginner to Advanced
Learn Red Hat Linux & CentOS: Use the in-demand skills to start a career as a Linux Server Admin or Linux Administrator!",4.5,9.5,All Levels,Udemy
GCP Associate Cloud Engineer - Google Cloud Certification,"GCP Associate Cloud Engineer - Google Cloud Certification
GCP ACE - Google Cloud Associate Cloud Engineer certification. Begin your Google Cloud Platform - GCP journey!",4.6,18.0,All Levels,Udemy
Linux Mastery: Master the Linux Command Line in 11.5 Hours,"Linux Mastery: Master the Linux Command Line in 11.5 Hours
Learn the Linux Command Line from Scratch and Improve your Career with the World's Most Fun Project-Based Linux Course!",4.7,10.5,Beginner,Udemy
AWS Certified Cloud Practitioner 2024 [NEW],"AWS Certified Cloud Practitioner 2024 [NEW]
Video Course + Practice Exams | Pass the AWS Cloud Practitioner Exam!",4.6,24.5,Beginner,Udemy
Six Sigma: Certified Lean Six Sigma White Belt (Accredited),"Six Sigma: Certified Lean Six Sigma White Belt (Accredited)
Six Sigma White Belt Certification (Accredited) | Six Sigma White Belt &amp; Seven Basic Tools of Quality (Earn PDUs | CPDs)",4.6,2.5,Beginner,Udemy
AWS Certified Cloud Practitioner Practice Exams CLF-C02,"AWS Certified Cloud Practitioner Practice Exams CLF-C02
[2024] AWS Certified Cloud Practitioner [CLF-C02] 6 Practice Tests + Exam Simulator + Explanations + AWS Cheat Sheets",4.6,Not applicable,All Levels,Udemy
DevOps Beginners to Advanced with Projects,"DevOps Beginners to Advanced with Projects
Begin DevOps Career As an Absolute Beginner | AWS, Linux, Scripts, Jenkins, Ansible, GitOps, Docker,Kubernetes, &amp;ChatGPT",4.6,55.0,All Levels,Udemy
Scrum for Beginners + Scrum Master Certification Preparation,"Scrum for Beginners + Scrum Master Certification Preparation
[UNOFFICIAL] Learn Scrum, understand the Agile principles &amp; prepare for your Agile/Scrum Master certification in 2024",4.7,13.5,All Levels,Udemy
HashiCorp Certified: Terraform Associate 2024,"HashiCorp Certified: Terraform Associate 2024
All in One course for learning Terraform and gaining the official Terarform Associate Certification (003).",4.7,17.0,Beginner,Udemy
TOTAL: CompTIA A+ Core 2 (220-1102) Course + Exam,"TOTAL: CompTIA A+ Core 2 (220-1102) Course + Exam
Everything you need to pass the A+ Cert. Core 2 (220-1102) Exam, from Mike Meyers and Total Seminars with practice exam.",4.8,18.0,All Levels,Udemy
PL-300 certification: Microsoft Power BI Data Analyst,"PL-300 certification: Microsoft Power BI Data Analyst
Learn skills for Microsoft PL-300 certification using the free Power BI Desktop. Power Query, DAX, M, more. (Was DA-100)",4.6,29.0,Beginner,Udemy
AZ-104 Microsoft Azure Administrator Certification,"AZ-104 Microsoft Azure Administrator Certification
Prepare for your Microsoft AZ-104 exam.",4.6,27.5,All Levels,Udemy
Azure DevOps Boards for Project Managers/Analyst/Developers,"Azure DevOps Boards for Project Managers/Analyst/Developers
Microsoft Project Management tool Azure DevOps Boards. TFS / VSTS is now Azure DevOps.",4.5,1.5,Beginner,Udemy
PLC Fundamentals (Level I),"PLC Fundamentals (Level I)
This course will give a person with no prior experience the basic tools necessary to create a PLC program from scratch.",4.5,22.5,Beginner,Udemy
The Beginners 2024 Cyber Security Awareness Training Course,"The Beginners 2024 Cyber Security Awareness Training Course
Learn to Spot Targeted Email Phishing, Social Engineering Attacks, Hacker Tactics, Browser &amp; Mobile Threats &amp; Much More",4.5,3.5,Beginner,Udemy
Website Hacking / Penetration Testing,"Website Hacking / Penetration Testing
Hack websites & web applications like black hat hackers and secure them like experts.",4.6,10.5,All Levels,Udemy
CompTIA Network+ (N10-008) Full Course & Practice Exam,"CompTIA Network+ (N10-008) Full Course & Practice Exam
CompTIA Network+ (N10-008) Bootcamp - Certification preparation course on the most popular networking certification!",4.7,26.0,Beginner,Udemy
Complete Agile Scrum Master Certification Training,"Complete Agile Scrum Master Certification Training
Prep Course for Professional Scrum Master 1 (PSM I). Agile Scrum Simulation + 340 Practice Questions + [EXTRA] PSM II",4.7,6.0,Beginner,Udemy
AWS Certified Solutions Architect Associate (SAA-C03) Course,"AWS Certified Solutions Architect Associate (SAA-C03) Course
2024 AWS Certified Solutions Architect Associate Video Course SAA-C03 | Hands-on Exercises + AWS Practice Exam + Slides",4.6,24.0,All Levels,Udemy
Ultimate AWS Certified Solutions Architect Professional 2024,"Ultimate AWS Certified Solutions Architect Professional 2024
Be AWS Certified Solutions Architect Professional. Full Amazon Web Services Solution Architecture deep-dive for SAP-C02",4.7,16.5,Expert,Udemy
Six Sigma: Certified Lean Six Sigma Yellow Belt (Accredited),"Six Sigma: Certified Lean Six Sigma Yellow Belt (Accredited)
Lean Six Sigma Yellow Belt (Accredited) | Master Six Sigma Yellow Belt, Minitab &amp; Yellow Belt Case Study | Earn 8 PDUs",4.6,8.0,Beginner,Udemy
Ultimate AWS Certified SysOps Administrator Associate 2024,"Ultimate AWS Certified SysOps Administrator Associate 2024
Full Practice Test with Explanations included! PASS the AWS Certified SysOps Administrator Associate SOA-C02 Exam.",4.7,26.5,All Levels,Udemy
CompTIA A+ Core 1 (220-1101) Complete Course & Practice Exam,"CompTIA A+ Core 1 (220-1101) Complete Course & Practice Exam
Pass the CompTIA A+ (220-1101) Core 1 exam with help from a top expert in the field!",4.7,25.5,Beginner,Udemy
The Complete Cyber Security Course : Network Security!,"The Complete Cyber Security Course : Network Security!
Volume 2 : Network Security, WiFi Security, WiFi Hackers, Firewalls, Wireshark, Secure Networking. + Password Managers",4.5,12.5,All Levels,Udemy
ITIL 4 Foundation Practice Certification Exams (6 Exams),"ITIL 4 Foundation Practice Certification Exams (6 Exams)
6 Full-length ITIL 4 Foundation Timed Tests *** 40 Questions Each & 240 Questions Total (With feedback on each question)",4.6,Not applicable,All Levels,Udemy
DevOps Project 1 - CI/CD with Git Jenkins Ansible Kubernetes,"DevOps Project 1 - CI/CD with Git Jenkins Ansible Kubernetes
100% Hands-on labs on how to create DevOps CI/CD pipelines using Git, Jenkins, Ansible, Docker and Kubernetes on AWS",4.6,6.5,All Levels,Udemy
CISSP Certification: CISSP Domain 1 & 2 Boot Camp UPDATED 24,"CISSP Certification: CISSP Domain 1 & 2 Boot Camp UPDATED 24
Take the Domain 1 and 2 2024 CISSP certifications boot camp: Get 8.5 hours of video, study guides and practice questions",4.6,9.0,All Levels,Udemy
"70-461, 761: Querying Microsoft SQL Server with Transact-SQL","70-461, 761: Querying Microsoft SQL Server with Transact-SQL
From Tables and SELECT queries to advanced SQL. SQL Server 2012, 2014, 2016, 2017, 2019, and 2022",4.6,28.5,Beginner,Udemy
Complete Ethical Hacking Bootcamp,"Complete Ethical Hacking Bootcamp
Learn Ethical Hacking + Penetration Testing! Use real techniques by black hat hackers then learn to defend against them!",4.6,29.0,All Levels,Udemy
Salesforce Certified Administrator Training (Feb 2024),"Salesforce Certified Administrator Training (Feb 2024)
Updated Feb 2024 - Want to pass the Salesforce Admin Exam? with a focused course including mock test and best practice?",4.6,22.0,Beginner,Udemy
Practice Exams | AWS Certified Solutions Architect Associate,"Practice Exams | AWS Certified Solutions Architect Associate
Prepare for your SAA-C03 exam. 390 high-quality practice test questions written from scratch with detailed explanations!",4.6,Not applicable,Beginner,Udemy
AWS Certified Data Analytics Specialty 2024 - Hands On!,"AWS Certified Data Analytics Specialty 2024 - Hands On!
Practice exam included! AWS DAS-C01 certification prep course with exercises. Kinesis, EMR, DynamoDB, Redshift and more!",4.6,16.5,Intermediate,Udemy
Information Security Management Fundamentals for Non-Techies,"Information Security Management Fundamentals for Non-Techies
Learn the Fundamentals of Information Security Management for Non-Techies",4.7,12.5,Beginner,Udemy
Jira for Beginners - Detailed Course to Get Started in Jira,"Jira for Beginners - Detailed Course to Get Started in Jira
Learn how to manage projects with Jira for agile teams in this comprehensive beginner course from Simon Sez IT!",4.5,4.0,Beginner,Udemy
Linux for Beginners,"Linux for Beginners
An Introduction to the Linux Operating System and Command Line",4.6,8.0,All Levels,Udemy
AWS Certified DevOps Engineer Professional 2024 - DOP-C02,"AWS Certified DevOps Engineer Professional 2024 - DOP-C02
Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C02) with 20 hours of advanced videos.",4.7,17.5,Intermediate,Udemy
Java 8 New Features In Simple Way,"Java 8 New Features In Simple Way
Direct Class Room Videos To give Left and Right Anywhere about Lambda Expressions,Streams and More",4.6,20.5,All Levels,Udemy
Snowflake – The Complete Masterclass (2023 Edition),"Snowflake – The Complete Masterclass (2023 Edition)
Master Snowflake & cloud data warehouse from the ground up",4.6,14.0,All Levels,Udemy
Maven Crash Course,"Maven Crash Course
Create a multi module maven java web applicaiton project in easy steps",4.6,6.5,All Levels,Udemy
Azure Databricks & Spark For Data Engineers (PySpark / SQL),"Azure Databricks & Spark For Data Engineers (PySpark / SQL)
Real World Project on Formula1 Racing using Azure Databricks, Delta Lake, Unity Catalog, Azure Data Factory [DP203]",4.7,20.0,All Levels,Udemy
Microsoft Azure: From Zero to Hero - The Complete Guide,"Microsoft Azure: From Zero to Hero - The Complete Guide
Become an Azure Expert! Learn to design and build modern cloud apps from a certified Azure Architect",4.6,21.0,Beginner,Udemy
Linux Shell Scripting: A Project-Based Approach to Learning,"Linux Shell Scripting: A Project-Based Approach to Learning
Learn how to shell script through project-based training (Bash Scripting, Bash Programming, Sed, Grep, Awk, and More)",4.5,12.5,All Levels,Udemy
Tableau Data Analyst/Specialist Desktop Certification,"Tableau Data Analyst/Specialist Desktop Certification
From beginners to skills needed for Data Analyst or Desktop Specialist certifications. Tableau 2023, 2022, 2021, 2020",4.6,15.0,Beginner,Udemy
Six Sigma: Certified Lean Six Sigma Green Belt (Accredited),"Six Sigma: Certified Lean Six Sigma Green Belt (Accredited)
Lean Six Sigma Green Belt (Accredited) | Master Lean Six Sigma Green Belt, Minitab, Green Belt Case Study | Earn PDUs",4.6,17.5,Intermediate,Udemy
Microservices Architecture - The Complete Guide,"Microservices Architecture - The Complete Guide
Become an expert in the most popular Software Architecture style in the world!",4.5,5.0,Intermediate,Udemy
Azure Fundamentals: AZ-900 Certification +Practice Questions,"Azure Fundamentals: AZ-900 Certification +Practice Questions
Course update: December 2023",4.5,7.0,Beginner,Udemy
Introduction to Computer Networks for Non-Techies,"Introduction to Computer Networks for Non-Techies
Learn the Fundamentals of Computer Networking for Non-Techies",4.7,18.5,All Levels,Udemy
GCP for Beginners - Become a Google Cloud Digital Leader,"GCP for Beginners - Become a Google Cloud Digital Leader
Google Cloud for Beginners. Start Cloud Computing with GCP and become a Cloud Digital Leader.",4.6,10.5,All Levels,Udemy
Active Directory & Group Policy Lab,"Active Directory & Group Policy Lab
Learn REAL job skills and stack your resume with the experience you will gain in this course!",4.6,7.0,All Levels,Udemy
SAP S/4HANA Training - in Plain English,"SAP S/4HANA Training - in Plain English
Simple Logistics for SAP Functional Consultants in Logistics ( SD, MM )",4.5,7.0,Intermediate,Udemy
AWS Certified Machine Learning Specialty 2024 - Hands On!,"AWS Certified Machine Learning Specialty 2024 - Hands On!
AWS machine learning certification preparation - learn SageMaker, generative AI, data engineering, modeling &amp; more",4.6,14.0,Intermediate,Udemy
The Complete Guide to Becoming a Software Architect,"The Complete Guide to Becoming a Software Architect
The most comprehensive guide that will make you a Software Architect, the most desired role in the software industry.",4.6,6.0,Beginner,Udemy
Introduction to Security Awareness Campaigns,"Introduction to Security Awareness Campaigns
Understanding how awareness offers tangible results in reducing the likely hood of successful social engineering attacks",4.5,3.5,Intermediate,Udemy
Microsoft Windows Server 2016 Training for Beginners,"Microsoft Windows Server 2016 Training for Beginners
Install Windows Server 2016, Build a Windows Domain, Domain Controller, Learn DHCP, Install Windows 10, and much more...",4.5,6.5,All Levels,Udemy
Azure Data Factory For Data Engineers - Project on Covid19,"Azure Data Factory For Data Engineers - Project on Covid19
Real world project for Data Engineers using Azure Data Factory, SQL, Data Lake, Databricks, HDInsight, CI/CD [DP203]",4.7,13.0,All Levels,Udemy
Power BI Masterclass from Scratch in 90 minutes [2024],"Power BI Masterclass from Scratch in 90 minutes [2024]
Learn how to use Microsoft Power BI Desktop, Power BI Services, Power BI Mobile in 90 Minutes",4.5,1.5,All Levels,Udemy
TOTAL: CompTIA IT Fundamentals ITF+ (FCO-U61).,"TOTAL: CompTIA IT Fundamentals ITF+ (FCO-U61).
What EVERY USER needs to know about basic IT concepts, troubleshooting devices, and identifying/preventing security risk",4.7,5.0,Beginner,Udemy
Programming for Kids and Beginners: Learn to Code in Scratch,"Programming for Kids and Beginners: Learn to Code in Scratch
Learn to program, create games, have fun in Scratch! For parents and teachers of future coders",4.7,7.5,Beginner,Udemy
Learn API Technical Writing: JSON and XML for Writers,"Learn API Technical Writing: JSON and XML for Writers
API Documentation 1: Teaches technical writers how to document structured data. No programming experience required.",4.6,1.5,Beginner,Udemy
Microsoft Excel - Excel from Beginner to Advanced 2024,"Microsoft Excel - Excel from Beginner to Advanced 2024
The complete 8-hour Excel course compatible with MS Office 365, or ANY version of Excel. Zero to HERO!",4.7,11.0,All Levels,Udemy
Azure Architect Technologies,"Azure Architect Technologies
This course is to help students learn about Microsoft Azure Architect Technologies",4.7,27.5,All Levels,Udemy
Practice Exams | AWS Certified Developer Associate 2023,"Practice Exams | AWS Certified Developer Associate 2023
390 Test Quiz Questions on DVA-C02 ! Practice the AWS Certified Developer Exam & ace the AWS Certified Developer Exam!",4.7,Not applicable,Beginner,Udemy
Microcontroller Embedded C Programming: Absolute Beginners,"Microcontroller Embedded C Programming: Absolute Beginners
Foundation course on Embedded C programming using STM32 Microcontroller.",4.6,16.5,Beginner,Udemy
"REST API Design, Development & Management","REST API Design, Development & Management
Learn the REST API Concepts, Design best practices, Security practices, Swagger 2.0/OAI, Hands on API Management",4.5,7.5,All Levels,Udemy
React 18 Tutorial and Projects Course - 2024 Edition,"React 18 Tutorial and Projects Course - 2024 Edition
Hands-on React: Create 25+ Projects. Includes Axios, Router 6, Query 5, Redux Toolkit",4.7,77.0,All Levels,Udemy
Mastering Microcontroller and Embedded Driver Development,"Mastering Microcontroller and Embedded Driver Development
(MCU1) Learn bare metal driver development using Embedded C: Writing drivers for STM32 GPIO,I2C,SPI,USART from scratch",4.6,28.5,All Levels,Udemy
Identity and Access Management (IAM),"Identity and Access Management (IAM)
Managing identities and their access level is the most important part of cyber security frameworks",4.5,7.0,Beginner,Udemy
AZ-400 Designing and Implementing DevOps Certification,"AZ-400 Designing and Implementing DevOps Certification
Pass your AZ-400 DevOps Exam",4.6,21.0,Intermediate,Udemy
GCP Professional Cloud Architect: Google Cloud Certification,"GCP Professional Cloud Architect: Google Cloud Certification
Become a GCP Cloud Architect. Architect Google Cloud Platform (GCP) Solutions. Includes 4 New Case Studies.",4.6,21.0,All Levels,Udemy
Active Directory on Windows Server,"Active Directory on Windows Server
Learn how to deploy and manage all aspects of Active Directory, Group Policy, DNS and many more technologies",4.6,5.0,All Levels,Udemy
Spring Framework In Easy Steps,"Spring Framework In Easy Steps
Create an End to End Java EE Web Application using Spring",4.7,13.0,All Levels,Udemy
PL-900: Microsoft Power Platform Fundamentals,"PL-900: Microsoft Power Platform Fundamentals
Learn about Power Apps, Power Automate, Power BI, the AI Builder and the Dataverse (CDS) - for Microsoft's PL-900 exam.",4.5,8.5,Beginner,Udemy
Intune (MDM / MAM) Microsoft training course with HANDS ON,"Intune (MDM / MAM) Microsoft training course with HANDS ON
Learn how to use Microsoft Intune quickly! This course features hands on activities &amp; simulations you can practice 24/7",4.6,9.5,All Levels,Udemy
Java Web Services,"Java Web Services
Learn how to design,create , consume and secure SOAP and REST web services from scratch in easy steps.",4.6,17.0,All Levels,Udemy
TOTAL: CompTIA Security+ Certification (SY0-601),"TOTAL: CompTIA Security+ Certification (SY0-601)
Everything you need to pass the CompTIA Security+ (SY0-601) exam from Mike Meyers and Dan Lachance",4.6,19.5,Intermediate,Udemy
Mastering Ansible,"Mastering Ansible
A complete guide to configuration management and orchestration with Ansible.",4.6,5.0,All Levels,Udemy
User Story Masterclass: Your Agile Guide to User Stories,"User Story Masterclass: Your Agile Guide to User Stories
As a student, I want to enroll in this course, so that I can learn to write, split, and map compelling User Stories",4.5,3.0,All Levels,Udemy
The Absolute Beginners Guide to Cyber Security 2024 - Part 2,"The Absolute Beginners Guide to Cyber Security 2024 - Part 2
Learn about Networking, Malware, Encryption, VPNs, Privacy, Email Security, Social Engineering, Backups and so much more",4.5,6.5,All Levels,Udemy
"ChatGPT, Midjourney, DALL-E 3 & APIs - The Complete Guide","ChatGPT, Midjourney, DALL-E 3 & APIs - The Complete Guide
10x your productivity by using ChatGPT & OpenAI APIs efficiently. Learn Midjourney, prompt engineering, AutoGPT & more!",4.6,16.0,All Levels,Udemy
AWS Lambda and the Serverless Framework - Hands On Learning!,"AWS Lambda and the Serverless Framework - Hands On Learning!
Develop and Deploy AWS Lambda Functions with Serverless, Learn Lambda Real World Integrations with Amazon Web Services",4.6,10.5,Beginner,Udemy
Windows Server 2019 Administration,"Windows Server 2019 Administration
Learn Active Directory, Group Policy, DNS, DHCP, Storage, Backup, Azure integration and More",4.7,21.5,All Levels,Udemy
NGINX Fundamentals: High Performance Servers from Scratch,"NGINX Fundamentals: High Performance Servers from Scratch
Learn to install & configure an NGINX web server from scratch.",4.6,4.0,All Levels,Udemy
Complete VMWare vSphere ESXi and vCenter Administration,"Complete VMWare vSphere ESXi and vCenter Administration
Learn everything about virtualization administration with VMWare vSphere, VM, ESXi, vCenter, vNetwork, vStorage etc.",4.7,11.0,All Levels,Udemy
Mastering the System Design Interview,"Mastering the System Design Interview
Insider tips for your system design interview from a former Amazon hiring manager – plus 6 mock interviews for practice!",4.6,5.0,Intermediate,Udemy
Introduction to AWS - Understand AWS basics in 2 hours!,"Introduction to AWS - Understand AWS basics in 2 hours!
A quick, fun introduction to AWS. Understand the benefits of the most commonly used services, and see real life demos!",4.5,3.0,Beginner,Udemy
Certified Six Sigma Yellow Belt Training [2023],"Certified Six Sigma Yellow Belt Training [2023]
Aligned with internationally accepted CSSYB, LSSYB Body of Knowledge + Certification. In an easy to understand language",4.5,6.0,All Levels,Udemy
Microsoft Power Automate (Flow) Crash Course,"Microsoft Power Automate (Flow) Crash Course
Learn how to create workflows using Microsoft Power Automate from ground zero",4.5,8.0,All Levels,Udemy
TOTAL: CompTIA A+ Core 1 (220-1101) Course + Practice Test,"TOTAL: CompTIA A+ Core 1 (220-1101) Course + Practice Test
Everything you need to pass A+ Certification Core 1 (220-1101) Exam, Mike Meyers and Total Seminars with practice test",4.7,15.5,All Levels,Udemy
"The Ultimate Dark Web, Anonymity, Privacy & Security Course","The Ultimate Dark Web, Anonymity, Privacy & Security Course
Access & use the dark net and the clear net privately, anonymously and securely",4.7,10.5,All Levels,Udemy
The Nuts and Bolts of OAuth 2.0,"The Nuts and Bolts of OAuth 2.0
Covering OAuth 2.0, OpenID, PKCE, deprecated flows, JWTs, API Gateways, and scopes. No programming knowledge needed",4.7,3.5,Intermediate,Udemy
CompTIA Pentest+ (Ethical Hacking) Course & Practice Exam,"CompTIA Pentest+ (Ethical Hacking) Course & Practice Exam
Pass the CompTIA Pentest+ (PT0-002) exam on your 1st attempt, includes one full-length Pentest+ practice exam!",4.7,32.0,All Levels,Udemy
AZ-900 - Azure Fundamentals 2024 Exam & Certification Prep,"AZ-900 - Azure Fundamentals 2024 Exam & Certification Prep
Azure Fundamentals certification course: Learn all you need to know to pass the AZ-900 exam!",4.5,8.0,Beginner,Udemy
Oracle Database 12c SQL Certified Associate 1Z0-071,"Oracle Database 12c SQL Certified Associate 1Z0-071
Become Oracle SQL Certified ( OCA ) / Covers ORACLE university track 100%. All the presentations & scripts are attached",4.6,20.0,All Levels,Udemy
Wireshark: Packet Analysis and Ethical Hacking: Core Skills,"Wireshark: Packet Analysis and Ethical Hacking: Core Skills
From basic to advanced network analysis using Wireshark! Ethical Hacking using Kali Linux: Passwords, Security, Protocol",4.7,14.5,Beginner,Udemy
Python Data Structures & Algorithms + LEETCODE Exercises,"Python Data Structures & Algorithms + LEETCODE Exercises
DSA for Cracking the Coding Interview. Animated Examples for Faster Learning and Deeper Understanding.",4.7,9.5,All Levels,Udemy
