Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
IBM AI Foundations for Business Specialization,"Not specified Artificial Intelligence (AI), Data Science, Leadership, Information Technology (IT) Architecture, Data Architecture Introduction to Artificial Intelligence (AI), What is Data Science? , The AI Ladder: A Framework for Deploying AI in your Enterprise Computer Science",4.7,40.0,Beginner,Coursera,"Introducción a la Inteligencia Artificial (IA), ¿Qué es la Ciencia de Datos?, Liderazgo, Arquitectura de Tecnología de la Información (TI), Arquitectura de Datos, La Escalera de la IA: Un Marco para Implementar IA en su Empresa Ciencias de la Computación",IBM AI Foundations for Business Specialization
AI Foundations for Everyone Specialization,"Not specified Artificial Intelligence (AI), ChatGPT, Large Language Models (LLM), Natural Language Generation, Generative AI, Data Science, Machine Learning, Deep Learning, Jobs, Prompt Engineering, prompt patterns Introduction to Artificial Intelligence (AI), Generative AI: Introduction and Applications, Generative AI: Prompt Engineering Basics, Building AI Powered Chatbots Without Programming Computer Science",4.7,40.0,Beginner,Coursera,"Not specified Artificial Intelligence (AI), ChatGPT, Large Language Models (LLM), Natural Language Generation, Generative AI, Data Science, Machine Learning, Deep Learning, Jobs, Prompt Engineering, prompt patterns Introduction to Artificial Intelligence (AI), Generative AI: Introduction and Applications, Generative AI: Prompt Engineering Basics, Building AI Powered Chatbots Without Programming Computer Science",AI Foundations for Everyone Specialization
 IBM and ISC2 Cybersecurity Specialist Professional Certificate,"Recognize the importance of data security and integrity and identify preferred practices for authentication, encryption, and device security.Develop working knowledge of different security threats, breaches, malware, social engineering, and other attack vectors.Master the most up-to-date practical skills and knowledge cybersecurity specialists use in their daily roles.Identify types of network (cyber) threats and attacks and leverage common tools to prevent these threats. Cyberattacks, Network Security, Threat, Computer Security Incident Management, Cybersecurity, Breach (Security Exploit), security analyst, cyber attack, Risk, security, governance, Information Assurance, Cloud Computing, Hybrid Multicloud, Devops, Iaas PaaS Saas, Cloud Native, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, Physical Controls, Asset, Cryptography, Data Security, Technical Support, Operating Systems, Troubleshooting, hardware, IT Fundamentals, Information Security (INFOSEC), Application Security, Wireless Networks, Network Troubleshooting, Network Architecture, Cloud Storage, Networking Hardware, Software Application Development, Computer Programming, Software Development Process, Database basics, Cybersecurity Careers, CompTIA Certifications, ISC2 certifications Introduction to Cybersecurity Careers, Introduction to Hardware and Operating Systems, Introduction to Software, Programming, and Databases , Introduction to Networking and Storage, Introduction to Cloud Computing, Introduction to Cybersecurity Essentials, Security Principles, Incident Response, BC, and DR Concepts, Access Control Concepts, Network Security, Security Operations, Cybersecurity Capstone:  Breach Response Case Studies Computer Science",4.8,120.0,Beginner,Coursera,"Recognize the importance of data security and integrity and identify preferred practices for authentication, encryption, and device security.Develop working knowledge of different security threats, breaches, malware, social engineering, and other attack vectors.Master the most up-to-date practical skills and knowledge cybersecurity specialists use in their daily roles.Identify types of network (cyber) threats and attacks and leverage common tools to prevent these threats. Cyberattacks, Network Security, Threat, Computer Security Incident Management, Cybersecurity, Breach (Security Exploit), security analyst, cyber attack, Risk, security, governance, Information Assurance, Cloud Computing, Hybrid Multicloud, Devops, Iaas PaaS Saas, Cloud Native, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, Physical Controls, Asset, Cryptography, Data Security, Technical Support, Operating Systems, Troubleshooting, hardware, IT Fundamentals, Information Security (INFOSEC), Application Security, Wireless Networks, Network Troubleshooting, Network Architecture, Cloud Storage, Networking Hardware, Software Application Development, Computer Programming, Software Development Process, Database basics, Cybersecurity Careers, CompTIA Certifications, ISC2 certifications Introduction to Cybersecurity Careers, Introduction to Hardware and Operating Systems, Introduction to Software, Programming, and Databases , Introduction to Networking and Storage, Introduction to Cloud Computing, Introduction to Cybersecurity Essentials, Security Principles, Incident Response, BC, and DR Concepts, Access Control Concepts, Network Security, Security Operations, Cybersecurity Capstone:  Breach Response Case Studies Computer Science", IBM and ISC2 Cybersecurity Specialist Professional Certificate
Generative AI with Large Language Models,"Gain foundational knowledge, practical skills, and a functional understanding of how generative AI worksDive into the latest research on Gen AI to understand how companies are creating value with cutting-edge technologyInstruction from expert AWS AI practitioners who actively build and deploy AI in business use-cases today Python Programming, Machine Learning, Large Language Models, LLMs, Generative AI Week 1, Week 2, Week 3 Computer Science",4.8,16.0,Intermediate,Coursera,"Gain foundational knowledge, practical skills, and a functional understanding of how generative AI worksDive into the latest research on Gen AI to understand how companies are creating value with cutting-edge technologyInstruction from expert AWS AI practitioners who actively build and deploy AI in business use-cases today Python Programming, Machine Learning, Large Language Models, LLMs, Generative AI Week 1, Week 2, Week 3 Computer Science",Generative AI with Large Language Models
IBM IT Project Manager Professional Certificate,"Master the most up-to-date practical skills and tools IT project managers use in their daily rolesLearn Agile concepts of adaptive planning, iterative development, and continuous improvement leading to early deliveries and high customer valueTrack and manage projects, including addressing difficult client situations and how activities shift throughout the project management lifecycleApply your new skills to real-world projects and hands-on labs Project Management, Scrum Master, Risk Management, Communication, Information Technology, Leadership, agile Introduction to Project Management , Project Management Foundations, Initiation, and Planning, Project Lifecycle, Information Sharing, and Risk Management, Project Management Communication, Stakeholders & Leadership , Information Technology (IT) Fundamentals for Everyone, Introduction to Software Engineering, Introduction to Scrum Master Profession, Introduction to Agile Development and Scrum, Project Management Capstone Computer Science",4.8,160.0,Beginner,Coursera,"Master the most up-to-date practical skills and tools IT project managers use in their daily rolesLearn Agile concepts of adaptive planning, iterative development, and continuous improvement leading to early deliveries and high customer valueTrack and manage projects, including addressing difficult client situations and how activities shift throughout the project management lifecycleApply your new skills to real-world projects and hands-on labs Project Management, Scrum Master, Risk Management, Communication, Information Technology, Leadership, agile Introduction to Project Management , Project Management Foundations, Initiation, and Planning, Project Lifecycle, Information Sharing, and Risk Management, Project Management Communication, Stakeholders & Leadership , Information Technology (IT) Fundamentals for Everyone, Introduction to Software Engineering, Introduction to Scrum Master Profession, Introduction to Agile Development and Scrum, Project Management Capstone Computer Science",IBM IT Project Manager Professional Certificate
IBM Data Warehouse Engineer Professional Certificate,"Master the most up-to-date practical skills and knowledge data warehouse engineers use in their daily rolesLearn how to deploy, manage, secure, operationalize, monitor and optimize relational database systems like MySQL, PostgreSQL, and BD2Develop working knowledge of various types of SQL and queries to access and manipulate data in databasesDesign and populate data warehouses and analyze the data with Business Intelligence (BI) tools like Cognos Analytics Enterprise Data Warehouse (EDW), Data Science, Extract Transform Load (ETL), Postgresql, Database Architecture, Business Intelligence (BI), Relational Database (RDBMS), SQL, NoSQL, MySQL, Database (DBMS), database (DB) design Introduction to Data Engineering, Introduction to Relational Databases (RDBMS), SQL: A Practical Introduction for Querying Databases, Hands-on Introduction to Linux Commands and Shell Scripting, Relational Database Administration (DBA), ETL and Data Pipelines with Shell, Airflow and Kafka, Getting Started with Data Warehousing and BI Analytics, Data Warehousing Capstone Project Computer Science",4.7,120.0,Beginner,Coursera,"Master the most up-to-date practical skills and knowledge data warehouse engineers use in their daily rolesLearn how to deploy, manage, secure, operationalize, monitor and optimize relational database systems like MySQL, PostgreSQL, and BD2Develop working knowledge of various types of SQL and queries to access and manipulate data in databasesDesign and populate data warehouses and analyze the data with Business Intelligence (BI) tools like Cognos Analytics Enterprise Data Warehouse (EDW), Data Science, Extract Transform Load (ETL), Postgresql, Database Architecture, Business Intelligence (BI), Relational Database (RDBMS), SQL, NoSQL, MySQL, Database (DBMS), database (DB) design Introduction to Data Engineering, Introduction to Relational Databases (RDBMS), SQL: A Practical Introduction for Querying Databases, Hands-on Introduction to Linux Commands and Shell Scripting, Relational Database Administration (DBA), ETL and Data Pipelines with Shell, Airflow and Kafka, Getting Started with Data Warehousing and BI Analytics, Data Warehousing Capstone Project Computer Science",IBM Data Warehouse Engineer Professional Certificate
AI in Healthcare Specialization,"Identify problems healthcare providers face that machine learning can solveAnalyze how AI affects patient care safety, quality, and researchRelate AI to the science, practice, and business of medicineApply the building blocks of AI to help you innovate and understand emerging technologies   Not specified Introduction to Healthcare, Introduction to Clinical Data, Fundamentals of Machine Learning for Healthcare, Evaluations of AI Applications in Healthcare, AI in Healthcare Capstone Computer Science",4.7,40.0,Beginner,Coursera,"Identify problems in healthcare that can be solved by machine learning
Analyze the impact of AI on patient care safety, quality, and research
Connect AI to the science, practice, and business of medicine
Apply the basic principles of AI to drive innovation and comprehend new technologies in healthcare.",AI in Healthcare Specialization
Generative AI Fundamentals Specialization,"Explain the fundamental concepts, capabilities, models, tools, applications, and platforms of generative AI foundation models.Apply powerful prompt engineering techniques to write effective prompts and generate desired outcomes from AI models.Discuss the limitations of generative AI and explain the ethical concerns and considerations for the responsible use of generative AI.Recognize the ability of generative AI to enhance your career and help implement improvements at your workplace. Artificial Intelligence (AI), Prompt Engineering, Generative AI Careers, Generative AI, Foundation Models Generative AI: Introduction and Applications, Generative AI: Prompt Engineering Basics, Generative AI: Foundation Models and Platforms, Generative AI: Impact, Considerations, and Ethical Issues, Generative AI: Business Transformation and Career Growth Computer Science",4.7,20.0,Beginner,Coursera,"Explain the fundamental concepts, capabilities, models, tools, applications, and platforms of generative AI foundation models. Apply powerful prompt engineering techniques to write effective prompts and generate desired outcomes from AI models. Discuss the limitations of generative AI and explain the ethical concerns and considerations for the responsible use of generative AI. Recognize the ability of generative AI to enhance your career and help implement improvements at your workplace. Artificial Intelligence (AI), Prompt Engineering, Generative AI Careers, Generative AI, Foundation Models Generative AI: Introduction and Applications, Generative AI: Prompt Engineering Basics, Generative AI: Foundation Models and Platforms, Generative AI: Impact, Considerations, and Ethical Issues, Generative AI: Business Transformation and Career Growth Computer Science.",Generative AI Fundamentals Specialization
Generative AI for Software Developers Specialization,"Identify real-world generative AI uses and describe popular generative AI models and tools for text, code, image, audio, and videoExplain generative AI prompt engineering concepts, examples, and common tools and learn techniques needed to create effective, impactful prompts Learn about tools and techniques to generate code snippets, scripts, test cases, and applications using generative AI models Develop innovative software engineering solutions using AI-powered tools and LLMs   Software Engineering, Artificial Intelligence (AI), Prompt Engineering, prompt patterns, Generative AI Generative AI: Introduction and Applications, Generative AI: Prompt Engineering Basics, Generative AI:\xa0Elevate your Software Development Career Computer Science",5.0,40.0,Intermediate,Coursera,"Identify real-world generative AI uses and describe popular generative AI models and tools for text, code, image, audio, and videoExplain generative AI prompt engineering concepts, examples, and common tools and learn techniques needed to create effective, impactful prompts Learn about tools and techniques to generate code snippets, scripts, test cases, and applications using generative AI models Develop innovative software engineering solutions using AI-powered tools and LLMs   Software Engineering, Artificial Intelligence (AI), Prompt Engineering, prompt patterns, Generative AI Generative AI: Introduction and Applications, Generative AI: Prompt Engineering Basics, Generative AI:\xa0Elevate your Software Development Career Computer Science",Generative AI for Software Developers Specialization
IBM Applied DevOps Engineering Professional Certificate,"Write quality agile user stories, estimate and assign story points to them, and track stories using a kanban board on ZenHubDevelop RESTful Python microservices, test with TDD methods, practice CI/CD, and deploy using serverless and container technologies like KubernetesDevelop and execute unit tests with test driven development (TDD) methods including coverage reports, factories, fakes, and mock objectsGain technical experience through hands on labs and projects and build a portfolio to demonstrate your job readiness Representational State Transfer (REST), Cloud Applications, Openshift, Microservices, serverless, Software Testing, Test-Driven Development, Behavior-Driven Development, Test Case, Automated Testing, CI/CD, agile, Devops, TDD/BDD, Cloud Native, Continuous Integration, Continuous Development, Infrastructure As Code, Automation, Observability, Telemetry, Monitoring, logging, Tracing, Docker, Kubernetes, Containers, Kanban, Zenhub, Scrum Methodology, Agile Software Development, Sprint Planning, Open Web Application Security Project (OWASP), security, Cloud Computing Introduction to DevOps, Introduction to Agile Development and Scrum, Introduction to Containers w/ Docker, Kubernetes & OpenShift, Application Development using Microservices and Serverless , Introduction to Test and Behavior Driven Development, Continuous Integration and Continuous Delivery (CI/CD), Application Security for Developers and DevOps Professionals, Monitoring and Observability for\xa0Development and DevOps, DevOps Capstone Project Computer Science",4.8,120.0,Intermediate,Coursera,"Write quality agile user stories, estimate and assign story points to them, and track stories using a kanban board on ZenHubDevelop RESTful Python microservices, test with TDD methods, practice CI/CD, and deploy using serverless and container technologies like KubernetesDevelop and execute unit tests with test driven development (TDD) methods including coverage reports, factories, fakes, and mock objectsGain technical experience through hands on labs and projects and build a portfolio to demonstrate your job readiness Representational State Transfer (REST), Cloud Applications, Openshift, Microservices, serverless, Software Testing, Test-Driven Development, Behavior-Driven Development, Test Case, Automated Testing, CI/CD, agile, Devops, TDD/BDD, Cloud Native, Continuous Integration, Continuous Development, Infrastructure As Code, Automation, Observability, Telemetry, Monitoring, logging, Tracing, Docker, Kubernetes, Containers, Kanban, Zenhub, Scrum Methodology, Agile Software Development, Sprint Planning, Open Web Application Security Project (OWASP), security, Cloud Computing Introduction to DevOps, Introduction to Agile Development and Scrum, Introduction to Containers w/ Docker, Kubernetes & OpenShift, Application Development using Microservices and Serverless , Introduction to Test and Behavior Driven Development, Continuous Integration and Continuous Delivery (CI/CD), Application Security for Developers and DevOps Professionals, Monitoring and Observability for\xa0Development and DevOps, DevOps Capstone Project Computer Science",IBM Applied DevOps Engineering Professional Certificate
Prompt Engineering for ChatGPT,"How to apply prompt engineering to effectively work with large language models, like ChatGPTHow to use prompt patterns to tap into powerful capabilities within large language modelsHow to create complex prompt-based applications for your life, business, or education Prompt Engineering, ChatGPT, chain of thought prompting, prompt patterns, Large Language Models Course Introduction, Introduction to Prompts, Prompt Patterns I, Few-Shot Examples, Prompt Patterns II, Prompt Patterns III Computer Science",4.8,18.0,Beginner,Coursera,"How to apply prompt engineering to effectively work with large language models, like ChatGPTHow to use prompt patterns to tap into powerful capabilities within large language modelsHow to create complex prompt-based applications for your life, business, or education Prompt Engineering, ChatGPT, chain of thought prompting, prompt patterns, Large Language Models Course Introduction, Introduction to Prompts, Prompt Patterns I, Few-Shot Examples, Prompt Patterns II, Prompt Patterns III Computer Science",Prompt Engineering for ChatGPT
IBM Introduction to Machine Learning Specialization,"Understand the potential applications of machine learningGain technical skills like SQL, machine learning modelling, supervised and unsupervised learning, regression, and classification.Identify opportunities to leverage machine learning in your organization or careerCommunicate findings from your machine learning projects to experts and non-experts Unsupervised Learning, Machine Learning, Machine Learning Regression, Machine Learning Classification, Exploratory Data Analysis Exploratory Data Analysis for Machine Learning, Supervised Machine Learning: Regression,  Supervised Machine Learning: Classification,  Unsupervised Machine Learning Computer Science",4.7,80.0,Intermediate,Coursera,"Understand the potential applications of machine learningGain technical skills like SQL, machine learning modelling, supervised and unsupervised learning, regression, and classification.Identify opportunities to leverage machine learning in your organization or careerCommunicate findings from your machine learning projects to experts and non-experts Unsupervised Learning, Machine Learning, Machine Learning Regression, Machine Learning Classification, Exploratory Data Analysis Exploratory Data Analysis for Machine Learning, Supervised Machine Learning: Regression,  Supervised Machine Learning: Classification,  Unsupervised Machine Learning Computer Science",IBM Introduction to Machine Learning Specialization
Learn SQL Basics for Data Science Specialization,"Use SQL commands to filter, sort, & summarize data; manipulate strings, dates, & numerical data from different sources for analysisAssess and create datasets to solve your business questions and problems using SQLUse the collaborative Databricks workspace and create an end-to-end pipeline that reads data, transforms it, and saves the resultDevelop a project proposal & select your data, perform statistical analysis & develop metrics, and present your findings & make recommendations Data Analysis, SQL, Apache Spark, Delta Lake SQL for Data Science, Data Wrangling, Analysis and AB Testing with SQL, Distributed Computing with Spark SQL, SQL for Data Science Capstone Project Computer Science",4.5,80.0,Beginner,Coursera,"Use SQL commands to filter, sort, & summarize data; manipulate strings, dates, & numerical data from different sources for analysisAssess and create datasets to solve your business questions and problems using SQLUse the collaborative Databricks workspace and create an end-to-end pipeline that reads data, transforms it, and saves the resultDevelop a project proposal & select your data, perform statistical analysis & develop metrics, and present your findings & make recommendations Data Analysis, SQL, Apache Spark, Delta Lake SQL for Data Science, Data Wrangling, Analysis and AB Testing with SQL, Distributed Computing with Spark SQL, SQL for Data Science Capstone Project Computer Science",Learn SQL Basics for Data Science Specialization
Tools of the Trade: Linux and SQL,"Explain the relationship between operating systems, applications, and hardwareCompare a graphical user interface to a command line interfaceNavigate and manage the file system using Linux commands via the Bash shellUse SQL to retrieve information from a database Command line interface (CLI), SQL, Linux, Bash Introduction to operating systems, The Linux operating system, Linux commands in the Bash shell, Databases and SQL Computer Science",4.8,27.0,Beginner,Coursera,"Explain the relationship between operating systems, applications, and hardwareCompare a graphical user interface to a command line interfaceNavigate and manage the file system using Linux commands via the Bash shellUse SQL to retrieve information from a database Command line interface (CLI), SQL, Linux, Bash Introduction to operating systems, The Linux operating system, Linux commands in the Bash shell, Databases and SQL Computer Science",Tools of the Trade: Linux and SQL
"Start the UX Design Process: Empathize, Define, and Ideate","Empathize with users to understand their needs and pain points.Develop problem statements to define user needs. Generate ideas for possible solutions to user problems. User Experience (UX), Prototype, Wireframe, User Experience Design (UXD), UX Research Empathizing with users and defining pain points, Creating user stories and user journey maps, Defining user problems, Ideating design solutions Computer Science",4.8,22.0,Beginner,Coursera,"Empathize with users to understand their needs and pain points.Develop problem statements to define user needs. Generate ideas for possible solutions to user problems. User Experience (UX), Prototype, Wireframe, User Experience Design (UXD), UX Research Empathizing with users and defining pain points, Creating user stories and user journey maps, Defining user problems, Ideating design solutions Computer Science","Start the UX Design Process: Empathize, Define, and Ideate"
