Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
Weight Management: Beyond Balancing Calories,"Understand obesity, appetite hormones, and weight set point.Identify the main dietary factors that affect weight.Recognize underemphasized barriers to weight loss such as stress and inadequate sleep.Develop a weight management plan you can follow for life. Not specified Understanding Obesity, Managing Obesity: The Role of Diet, Beyond Diet: The Role of Stress, Exercise, & Sleep, Using Habit & Emotions to Your Advantage, Creating a Weight Loss Plan: A Step-Wise Approach Health",4.7,17.0,Beginner,Coursera,"Understand obesity, appetite hormones, and weight set point.Identify the main dietary factors that affect weight.Recognize underemphasized barriers to weight loss such as stress and inadequate sleep.Develop a weight management plan you can follow for life. Not specified Understanding Obesity, Managing Obesity: The Role of Diet, Beyond Diet: The Role of Stress, Exercise, & Sleep, Using Habit & Emotions to Your Advantage, Creating a Weight Loss Plan: A Step-Wise Approach Health",Weight Management: Beyond Balancing Calories
Anatomy Specialization,"Understand the major organ systems, their functions and relationships within the body. Gastrointestinal system, Cardiovascular system, Musculoskeletal system, human anatomy, Respiratory system Anatomy: Musculoskeletal and Integumentary Systems, Anatomy: Cardiovascular, Respiratory and Urinary Systems, Anatomy: Human Neuroanatomy, Anatomy: Gastrointestinal, Reproductive and Endocrine Systems Health",4.8,80.0,Beginner,Coursera,"Understand the major organ systems, their functions and relationships within the body. Gastrointestinal system, Cardiovascular system, Musculoskeletal system, human anatomy, Respiratory system Anatomy: Musculoskeletal and Integumentary Systems, Anatomy: Cardiovascular, Respiratory and Urinary Systems, Anatomy: Human Neuroanatomy, Anatomy: Gastrointestinal, Reproductive and Endocrine Systems Health",Anatomy Specialization
The Science of Well-Being,"Not specified Gratitude, Happiness, Meditation, Savoring Introduction, Misconceptions About Happiness, Why Our Expectations are so Bad, How Can We Overcome Our Biases, Stuff that Really Makes Us Happy, Putting Strategies into Practice, Start Your Final Rewirement Challenge, Continue Your Rewirement Challenge, Continue Your Rewirement Challenge, Submit Your Final Assignment Health",4.9,19.0,Not applicable,Coursera,"Not specified Gratitude, Happiness, Meditation, Savoring Introduction, Misconceptions About Happiness, Why Our Expectations are so Bad, How Can We Overcome Our Biases, Stuff that Really Makes Us Happy, Putting Strategies into Practice, Start Your Final Rewirement Challenge, Continue Your Rewirement Challenge, Continue Your Rewirement Challenge, Submit Your Final Assignment Health",The Science of Well-Being
Diabetes – the Essential Facts,"Not specified Not specified Fundamentals of Diabetes, Prevention and Treatment, Diabetes in the Future Health",4.7,10.0,Beginner,Coursera,"No especificado No especificado Fundamentos de la Diabetes, Prevención y Tratamiento, Diabetes en la Salud Futura",Diabetes – the Essential Facts
Introductory Human Physiology,"Recognize how the basic organ systems of the body work Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems Metabolic Pathways, Biology, Organ Systems, Medicine, Cardiovascular understanding Welcome and Additional Resources, Homeostasis and Endocrine System, The Nervous System, The Senses and the Somatic Nervous System, Muscle, Cardiovascular System, Respiratory System, The Endocrine System, The Reproductive System, The Gastrointestinal System, The Urinary System Health",4.8,35.0,Beginner,Coursera,"Recognize how the basic organ systems of the body work Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems Metabolic Pathways, Biology, Organ Systems, Medicine, Cardiovascular understanding Welcome and Additional Resources, Homeostasis and Endocrine System, The Nervous System, The Senses and the Somatic Nervous System, Muscle, Cardiovascular System, Respiratory System, The Endocrine System, The Reproductive System, The Gastrointestinal System, The Urinary System Health",Introductory Human Physiology
Science of Diet and Exercise Specialization,"Apply the science behind complementing dietary interventions with exercise strategies for optimal fitness programming. Learn how our bodies use the foods we consume for different metabolic functions required for health. Nutrition Coaching, Metabolic Equivalent of Task (MET) Measurement, Diet Types, Energy Intake and Expenditure, Dietary Interventions, Dietary Fat Intake Guidelines, Nutrition Science, Heathy Eating, Diet and Exercise Alignment, Weight Management Metabolic Makeover, Science of Fat Metabolism, Aligning Diet and Exercise Health",4.6,40.0,Intermediate,Coursera,"Apply the science behind complementing dietary interventions with exercise strategies for optimal fitness programming. Learn how our bodies use the foods we consume for different metabolic functions required for health. Nutrition Coaching, Metabolic Equivalent of Task (MET) Measurement, Diet Types, Energy Intake and Expenditure, Dietary Interventions, Dietary Fat Intake Guidelines, Nutrition Science, Heathy Eating, Diet and Exercise Alignment, Weight Management Metabolic Makeover, Science of Fat Metabolism, Aligning Diet and Exercise Health",Science of Diet and Exercise Specialization
Health Informatics Specialization,"Articulate a coherent problem definition of, and a plan for addressing, a health informatics problem. Answer a health informatics problem through data retrieval and analysis.Design a health informatics solution for decision support.Create a change management and deployment plan for a health informatics intervention. Informatics, Health Informatics, Data Science, Decision Support System, Health Care The Social and Technical Context of Health Informatics, Leading Change in Health Informatics, The Outcomes and Interventions of Health Informatics, The Data Science of Health Informatics, Culminating Project in Health Informatics Health",4.4,40.0,Beginner,Coursera,"Articulate a coherent problem definition of, and a plan for addressing, a health informatics problem. Answer a health informatics problem through data retrieval and analysis.Design a health informatics solution for decision support.Create a change management and deployment plan for a health informatics intervention. Informatics, Health Informatics, Data Science, Decision Support System, Health Care The Social and Technical Context of Health Informatics, Leading Change in Health Informatics, The Outcomes and Interventions of Health Informatics, The Data Science of Health Informatics, Culminating Project in Health Informatics Health",Health Informatics Specialization
Essentials of Global Health,"Not specified Not specified Module 1: Introduction, Module 2: The Burden of Disease, Module 3: Health Systems and Value for Money in Health, Module 4: Cross-Cutting Themes in Global Health - Part I, Module 4: Cross-Cutting Themes in Global Health - Part II, Module 4: Cross-Cutting Themes in Global Health - Part III, Module 5: Critical Causes of Illness and Death - Part I, Module 5: Critical Causes of Illness and Death - Part II, Module 5: Critical Causes of Illness and Death - Part III, Module 6: Looking Forward Health",4.9,70.0,Not applicable,Coursera,"Not specified Not specified Module 1: Introduction, Module 2: The Burden of Disease, Module 3: Health Systems and Value for Money in Health, Module 4: Cross-Cutting Themes in Global Health - Part I, Module 4: Cross-Cutting Themes in Global Health - Part II, Module 4: Cross-Cutting Themes in Global Health - Part III, Module 5: Critical Causes of Illness and Death - Part I, Module 5: Critical Causes of Illness and Death - Part II, Module 5: Critical Causes of Illness and Death - Part III, Module 6: Looking Forward Health",Essentials of Global Health
Biohacking Your Brain's Health,"Not specified Not specified Nutrition and the Brain, Exercise and the Brain, Meditation and the Brain, Sleep and the Brain Health",4.7,13.0,Beginner,Coursera,"Not specified Not specified Nutrition and the Brain, Exercise and the Brain, Meditation and the Brain, Sleep and the Brain Health",Biohacking Your Brain's Health
Medical Neuroscience,"Not specified Brain, Neurological Disorders, Neurobiology, Neurology Getting Started in Medical Neuroscience, Neuroanatomy: Introducing the Human Brain, Neuroanatomy: Surface Anatomy of the Human CNS, Neuroanatomy: Internal Anatomy of the Human CNS, Neural Signaling: Electrical Excitability and Signal Propagation, Neural Signaling: Synaptic Transmission and Synaptic Plasticity, Sensory Systems: General Principles and Somatic Sensation, Sensory Systems: The Visual System, Sensory Systems: Audition, Vestibular Sensation and the Chemical Senses, Movement and Motor Control: Lower and Upper Motor Neurons, Understanding the Paradigm of Eye Movements, Movement and Motor Control: Modulation of Movement, Movement and Motor Control: Visceral Motor Control, The Changing Brain: The Brain Across the Lifespan, Complex Brain Functions: Associational Cortex, Complex Brain Functions: Sleep, Emotion and Addiction, Comprehensive Final Exam , Closing Remarks Health",4.9,71.0,Expert,Coursera,"Not specified Brain, Neurological Disorders, Neurobiology, Neurology Getting Started in Medical Neuroscience, Neuroanatomy: Introducing the Human Brain, Neuroanatomy: Surface Anatomy of the Human CNS, Neuroanatomy: Internal Anatomy of the Human CNS, Neural Signaling: Electrical Excitability and Signal Propagation, Neural Signaling: Synaptic Transmission and Synaptic Plasticity, Sensory Systems: General Principles and Somatic Sensation, Sensory Systems: The Visual System, Sensory Systems: Audition, Vestibular Sensation and the Chemical Senses, Movement and Motor Control: Lower and Upper Motor Neurons, Understanding the Paradigm of Eye Movements, Movement and Motor Control: Modulation of Movement, Movement and Motor Control: Visceral Motor Control, The Changing Brain: The Brain Across the Lifespan, Complex Brain Functions: Associational Cortex, Complex Brain Functions: Sleep, Emotion and Addiction, Comprehensive Final Exam , Closing Remarks Health",Medical Neuroscience
Patient Safety Specialization,"Identify the core aspects of a strong patient safety culture.Describe the attributes of systems and processes that support a strong patient safety culture and a culture of continuous learning. Analyze safety and quality measures to identify areas for improvement as well as to monitor and sustain improvement projects. Develop a patient safety or quality improvement strategic plan. Patient Care, Comprehensive Unit-Based Safety Program (Cusp) Toolkit, Patient Safety, Quality Improvement Patient Safety and Quality Improvement: Developing a Systems View (Patient Safety I), Setting the Stage for Success: An Eye on Safety Culture and Teamwork (Patient Safety II), Planning a Patient Safety or Quality Improvement Project (Patient Safety III), Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV), Implementing a Patient Safety or Quality Improvement Project (Patient Safety V), Measuring the Success of a Patient Safety or Quality Improvement Project (Patient Safety VI), Taking Safety and Quality Improvement Work to the Next Level (Patient Safety VII) Health",4.8,40.0,Beginner,Coursera,"Identify the core aspects of a strong patient safety culture.Describe the attributes of systems and processes that support a strong patient safety culture and a culture of continuous learning. Analyze safety and quality measures to identify areas for improvement as well as to monitor and sustain improvement projects. Develop a patient safety or quality improvement strategic plan. Patient Care, Comprehensive Unit-Based Safety Program (Cusp) Toolkit, Patient Safety, Quality Improvement Patient Safety and Quality Improvement: Developing a Systems View (Patient Safety I), Setting the Stage for Success: An Eye on Safety Culture and Teamwork (Patient Safety II), Planning a Patient Safety or Quality Improvement Project (Patient Safety III), Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV), Implementing a Patient Safety or Quality Improvement Project (Patient Safety V), Measuring the Success of a Patient Safety or Quality Improvement Project (Patient Safety VI), Taking Safety and Quality Improvement Work to the Next Level (Patient Safety VII) Health",Patient Safety Specialization
Foundational Skills for Communicating About Health,"Define and collect important information about a target audience in order to make appropriate decisions about the communication effortSelect an audience-appropriate communications goalCraft a clear, concise core message for a communication effortDeploy at least two different types of narrative structures to support communications about health topics Communication, Health Communication, Storytelling, Messaging, Tailoring communications Week 1, Week 2, Week 3, Week 4, Week 5 Health",4.7,14.0,Beginner,Coursera,"Define and gather important information about a target audience to make informed decisions about communication efforts. Choose a communication goal that is suitable for the audience. Develop a clear and concise core message for the communication effort. Utilize at least two different types of narrative structures to support communication about health topics. Topics include Communication, Health Communication, Storytelling, Messaging, and Tailoring communications. This will be covered in Week 1, Week 2, Week 3, Week 4, and Week 5 of the Health Communication course.",Foundational Skills for Communicating About Health
Positive Psychiatry and Mental Health ,"Not specified Not specified Module 1 - Positive mental health and Psychiatry, Module 2 - Body and Mind, Module 3 - Love and Work , Module 4 - Mental Illness, Module 5 - Paths to Recovery Health",4.8,19.0,Not applicable,Coursera,"Not specified Not specified Module 1 - Positive mental health and Psychiatry, Module 2 - Body and Mind, Module 3 - Love and Work , Module 4 - Mental Illness, Module 5 - Paths to Recovery Health",Positive Psychiatry and Mental Health 
AI in Healthcare Specialization,"Identify problems healthcare providers face that machine learning can solveAnalyze how AI affects patient care safety, quality, and researchRelate AI to the science, practice, and business of medicineApply the building blocks of AI to help you innovate and understand emerging technologies   Not specified Introduction to Healthcare, Introduction to Clinical Data, Fundamentals of Machine Learning for Healthcare, Evaluations of AI Applications in Healthcare, AI in Healthcare Capstone Health",4.7,40.0,Beginner,Coursera,"Identify problems in healthcare that can be solved by machine learning
Analyze the impact of AI on patient care safety, quality, and research
Connect AI to the science, practice, and business of medicine
Apply the basics of AI to drive innovation and comprehend new technologies in healthcare.",AI in Healthcare Specialization
School Health for Children and Adolescents Specialization,"Not specified Nutrition, Behavioral Health, Learning Disabilities, School Health, Medical Conditions Managing Asthma, Allergies, Diabetes, and Seizures in School, Managing ADHD, Autism, Learning Disabilities, and Concussion in School, Providing Social, Emotional, Behavioral, and Special Education Services in School, Healthy Practices: Nutrition, Physical Activity, and Community and Family Participation Health",4.8,40.0,Beginner,Coursera,The text is already in English.,School Health for Children and Adolescents Specialization
The Business of Health Care Specialization,"Not specified Insurance, Health Economics Financial Acumen for Non-Financial Managers, The Economics of Health Care Delivery, Management Fundamentals, Health Care Innovation Health",4.7,40.0,Beginner,Coursera,"Not specified Insurance, Health Economics Financial Acumen for Non-Financial Managers, The Economics of Health Care Delivery, Management Fundamentals, Health Care Innovation Health",The Business of Health Care Specialization
Nutrition and Lifestyle in Pregnancy,"Not specified Not specified Unit 1 - A Healthy Pregnancy Starts Before Conception, Unit 2 - Nutrition and Lifestyle for a Healthy Pregnancy, Unit 3 - Nutrition-Related Pregnancy Outcomes, Unit 4 - Practical Advice for a Healthy Pregnancy Health",4.8,7.0,Intermediate,Coursera,"Unit 1 - A Healthy Pregnancy Starts Before Conception
Unit 2 - Nutrition and Lifestyle for a Healthy Pregnancy
Unit 3 - Nutrition-Related Pregnancy Outcomes
Unit 4 - Practical Advice for a Healthy Pregnancy Health",Nutrition and Lifestyle in Pregnancy
Bacteria and Chronic Infections,"Not specified Antimicrobial, Infection Control, Microbiology, Bacteriology Introduction to Bacteria and Infections, Properties of Biofilms and Chronic Infections, Bacteria and biofilms as natural inhabitants of our body, Bacteria and biofilms in chronic infections, Diagnosis and treatment of chronic infections, The evolutionary perspectives of biofilms Health",4.7,9.0,Not applicable,Coursera,The text is already in English.,Bacteria and Chronic Infections
Chemicals and Health,"Not specified Not specified Week 1: Welcome & Introduction, Week 2 - Toxicology: What do chemicals do in our bodies?, Week 3 - Biomonitoring: How do we measure these chemicals in our bodies and why?, Week 4 - Health effects of chemicals: How do we figure out how chemicals affect our health?, Week 5 - Chemicals Policy: What do we do about chemicals & health?, Week 6: Case Studies  Health",4.7,10.0,Beginner,Coursera,"Week 1: Welcome & Introduction
Week 2: Toxicology - What do chemicals do in our bodies?
Week 3: Biomonitoring - How do we measure these chemicals in our bodies and why?
Week 4: Health effects of chemicals - How do we figure out how chemicals affect our health?
Week 5: Chemicals Policy - What do we do about chemicals & health?
Week 6: Case Studies - Health",Chemicals and Health
Health Behavior Change: From Evidence to Action,"Identify social, behavioral, and psychological factors that influence health and health care.Inform clinical care, public health programs, and health policy through results of empirical studies.Utilize best practices from clinical psychology and public health to make informed health decisions and to optimize health behaviors.Apply theory, methods, and research results in the social and behavioral sciences to public health practice and policy. health practices, health psychology, Mental Health, Public Health, behavioral psychology Welcome to the course, Nutrition Part 1, Nutrition Part 2, Physical Activity Part 1, Physical Activity Part 2, Mental Health Part 1, Mental Health Part 2, Conclusion Health",4.8,15.0,Beginner,Coursera,"This text discusses the importance of identifying social, behavioral, and psychological factors that influence health and healthcare. It emphasizes the need to inform clinical care, public health programs, and health policy through empirical studies. The text also highlights the importance of utilizing best practices from clinical psychology and public health to make informed health decisions and optimize health behaviors. It encourages the application of theory, methods, and research results in the social and behavioral sciences to public health practice and policy. The course covers topics such as health practices, health psychology, mental health, and behavioral psychology, as well as specific modules on nutrition, physical activity, and mental health.",Health Behavior Change: From Evidence to Action
Epidemiology: The Basic Science of Public Health,"Not specified Not specified Course Introduction, History of Epidemiology and Epidemiology Research, Understanding Measures of Disease Frequency, Study Designs, Measures of Association, Causality, Course Conclusion Health",4.7,6.0,Not applicable,Coursera,"Not specified Not specified Course Introduction, History of Epidemiology and Epidemiology Research, Understanding Measures of Disease Frequency, Study Designs, Measures of Association, Causality, Course Conclusion Health",Epidemiology: The Basic Science of Public Health
Introduction to Healthcare,"The major challenges of the U.S.healthcare systemIssues you may encounter in efforts to improve healthcare delivery and the healthcare systemWho the key stakeholders are in the U.S. healthcare system Not specified Overview of Health Care Systems and Key Challenges They Face, Physicians, Physician Practices, and Physician Payment, Hospitals, Other Provider Organizations, and Related Payment Systems, Intermediaries, Health Insurance Plans, and Health Care Financing, Health Care Products and Prescription Drugs, and Quality Measurement and Improvement, Ethics, Course Wrap Up Health",4.8,11.0,Beginner,Coursera,"The major challenges of the U.S.healthcare systemIssues you may encounter in efforts to improve healthcare delivery and the healthcare systemWho the key stakeholders are in the U.S. healthcare system Not specified Overview of Health Care Systems and Key Challenges They Face, Physicians, Physician Practices, and Physician Payment, Hospitals, Other Provider Organizations, and Related Payment Systems, Intermediaries, Health Insurance Plans, and Health Care Financing, Health Care Products and Prescription Drugs, and Quality Measurement and Improvement, Ethics, Course Wrap Up Health",Introduction to Healthcare
International Women's Health and Human Rights,"Not specified Health Education, Reproductive Health, Community Health, Sexually Transmitted Infections Introduction, ""Womens Rights = Human Rights"", Education, Childhood & Adolescence: Female Genital Mutilation, Childhood & Adolescence: HIV/AIDS, Reproductive Health, Engage Your Community - Assignment #1, Violence Against Women in the Home and Community, Women in War and Refugee Settings, ""Womens Quest to Escape Poverty: Work & Economic Empowerment"", ""Womens Quest to Escape Poverty: Sex Work & Sex Trafficking"", Women, Aging, and End of Life, Engage Your Community - Assignment #2, Choosing Priorities, Making a Difference Health",4.9,57.0,Beginner,Coursera,"Not specified Health Education, Reproductive Health, Community Health, Sexually Transmitted Infections Introduction, ""Womens Rights = Human Rights"", Education, Childhood & Adolescence: Female Genital Mutilation, Childhood & Adolescence: HIV/AIDS, Reproductive Health, Engage Your Community - Assignment #1, Violence Against Women in the Home and Community, Women in War and Refugee Settings, ""Womens Quest to Escape Poverty: Work & Economic Empowerment"", ""Womens Quest to Escape Poverty: Sex Work & Sex Trafficking"", Women, Aging, and End of Life, Engage Your Community - Assignment #2, Choosing Priorities, Making a Difference Health",International Women's Health and Human Rights
Medical Terminology Specialization,"Not specified Communication, Medical language, Health records, human anatomy Medical Terminology I, Medical Terminology II, Medical Terminology III Health",4.9,40.0,Beginner,Coursera,"Not specified Communication, Medical language, Health records, human anatomy Medical Terminology I, Medical Terminology II, Medical Terminology III Health",Medical Terminology Specialization
Leading Healthcare Quality and Safety,"Not specified Not specified Establishing a Framework for Quality & Safety, Safety as a First Principle of Quality, Measures & Measurement, Quality and Safety Improvement Science, Leadership for Quality & Safety Health",4.8,13.0,Beginner,Coursera,"No especificado No especificado Estableciendo un Marco para la Calidad y la Seguridad, Seguridad como un Primer Principio de Calidad, Medidas y Medición, Ciencia de Mejora de la Calidad y la Seguridad, Liderazgo para la Salud de Calidad y Seguridad.",Leading Healthcare Quality and Safety
Healthcare IT Support Specialization,"Not specified Technical Support, Customer Support, Electronic Health Records, Health Information Technology, Telemedicine The Critical Role of IT Support Staff in Healthcare, Health Information Technology Fundamentals, Operations and Patient Safety for Healthcare IT Staff, Healthcare Data Security, Privacy, and Compliance Health",4.8,40.0,Beginner,Coursera,"Not specified Technical Support, Customer Support, Electronic Health Records, Health Information Technology, Telemedicine The Critical Role of IT Support Staff in Healthcare, Health Information Technology Fundamentals, Operations and Patient Safety for Healthcare IT Staff, Healthcare Data Security, Privacy, and Compliance Health",Healthcare IT Support Specialization
Human Anatomy and Medical Terminology Fundamentals Specialization,"Not specified Medical language, Knowledge of Major Diseases, human anatomy, Medical Terminology Medical Terminology, Anatomy, and Physiology Fundamentals, The Skin, Bones, and Muscles, ""The Human Bodys Communication Systems"", The Heart, Blood, and Lungs, Digestion, Micturition, and Reproduction Health",4.8,40.0,Beginner,Coursera,"Not specified Medical language, Knowledge of Major Diseases, human anatomy, Medical Terminology Medical Terminology, Anatomy, and Physiology Fundamentals, The Skin, Bones, and Muscles, ""The Human Bodys Communication Systems"", The Heart, Blood, and Lungs, Digestion, Micturition, and Reproduction Health",Human Anatomy and Medical Terminology Fundamentals Specialization
Understanding Obesity,"Not specified Not specified Week 1: What we know, and how we know it., Physiology and Stress, Psychology and Behaviour, Consolidation and Discussion Health",4.6,6.0,Beginner,Coursera,"Not specified Not specified Week 1: What we know, and how we know it., Physiology and Stress, Psychology and Behaviour, Consolidation and Discussion Health",Understanding Obesity
Health Systems Development Specialization,"Not specified Not specified Health Systems Development: Introduction to Health Systems, Health Systems Development: Health systems, Policy and Research, Health Systems Development: A Focus on Health Service Delivery and Human Resources for Health Health",4.8,80.0,Beginner,Coursera,"No especificado No especificado Desarrollo de Sistemas de Salud: Introducción a los Sistemas de Salud, Desarrollo de Sistemas de Salud: Sistemas de Salud, Política e Investigación, Desarrollo de Sistemas de Salud: Un Enfoque en la Prestación de Servicios de Salud y Recursos Humanos para la Salud.",Health Systems Development Specialization
Managing Your Health: The Role of Physical Therapy and Exercise,"Not specified Not specified Intro to the Course & Module 1: Just Keep Moving - Why physical activity and exercise are important, Managing your Health: The Role of Physical Therapy and Exercise Module 2: Exercise and Cardiovascular Disease, Managing your Health: The Role of Physical Therapy and Exercise   Module 3: Exercise and Osteoporosis, Managing your Health: The Role of Physical Therapy and Exercise   Module 4: Exercise and Cancer, Managing your health: the role of physical therapy and exercise module 5: Common Sports Injuries, Managing your health: The role of physical therapy and exercise module 6: Exercise and Arthritis Health",4.7,12.0,Beginner,Coursera,"Not specified Not specified Intro to the Course & Module 1: Just Keep Moving - Why physical activity and exercise are important, Managing your Health: The Role of Physical Therapy and Exercise Module 2: Exercise and Cardiovascular Disease, Managing your Health: The Role of Physical Therapy and Exercise   Module 3: Exercise and Osteoporosis, Managing your Health: The Role of Physical Therapy and Exercise   Module 4: Exercise and Cancer, Managing your health: the role of physical therapy and exercise module 5: Common Sports Injuries, Managing your health: The role of physical therapy and exercise module 6: Exercise and Arthritis Health",Managing Your Health: The Role of Physical Therapy and Exercise
